canonical_id,fuente,id_en_fuente,metodo,fecha
p00042,biwenger,1924,auto,2026-07-13
p00042,sofascore,316148,auto,2026-07-17
p00042,transfermarkt,230784,auto,2026-07-13
p00043,biwenger,1927,auto,2026-07-13
p00043,sofascore,146866,auto,2026-07-17
p00043,transfermarkt,177467,auto,2026-07-13
p00044,biwenger,1952,auto,2026-07-13
p00044,sofascore,138892,auto,2026-07-17
p00044,transfermarkt,182712,auto,2026-07-13
p00045,biwenger,1969,auto,2026-07-13
p00045,sofascore,588566,auto,2026-07-17
p00045,transfermarkt,192009,auto,2026-07-13
p00046,biwenger,1971,auto,2026-07-13
p00046,sofascore,591750,auto,2026-07-17
p00046,transfermarkt,263727,auto,2026-07-13
p00047,biwenger,1995,auto,2026-07-13
p00047,sofascore,783374,auto,2026-07-17
p00047,transfermarkt,255508,auto,2026-07-13
p00048,biwenger,2001,auto,2026-07-13
p00048,sofascore,345195,manual,2026-07-17
p00048,transfermarkt,246968,auto,2026-07-13
p00049,biwenger,2009,auto,2026-07-13
p00049,sofascore,785989,auto,2026-07-17
p00049,transfermarkt,278359,auto,2026-07-13
p00050,biwenger,2016,auto,2026-07-13
p00050,sofascore,785468,auto,2026-07-17
p00050,transfermarkt,229804,auto,2026-07-13
p00051,biwenger,2031,auto,2026-07-13
p00051,sofascore,797290,auto,2026-07-17
p00051,transfermarkt,356197,auto,2026-07-13
p00052,biwenger,2044,auto,2026-07-13
p00052,sofascore,547838,auto,2026-07-17
p00052,transfermarkt,319745,auto,2026-07-13
p00053,biwenger,2055,auto,2026-07-13
p00053,sofascore,96365,auto,2026-07-17
p00053,transfermarkt,126751,auto,2026-07-13
p00054,biwenger,2086,auto,2026-07-13
p00054,transfermarkt,126746,auto,2026-07-13
p00055,biwenger,2169,auto,2026-07-13
p00055,sofascore,141832,manual,2026-07-17
p00055,transfermarkt,203043,auto,2026-07-13
p00056,biwenger,2219,auto,2026-07-13
p00056,sofascore,115665,auto,2026-07-17
p00056,transfermarkt,127048,auto,2026-07-13
p00057,biwenger,2247,auto,2026-07-13
p00057,sofascore,188365,auto,2026-07-17
p00057,transfermarkt,191217,auto,2026-07-13
p00058,biwenger,2253,auto,2026-07-13
p00058,sofascore,142622,auto,2026-07-17
p00058,transfermarkt,86202,auto,2026-07-13
p00059,biwenger,2368,auto,2026-07-13
p00059,sofascore,1154549,auto,2026-07-17
p00059,transfermarkt,948273,auto,2026-07-13
p00060,biwenger,2476,auto,2026-07-13
p00060,sofascore,88528,auto,2026-07-17
p00060,transfermarkt,127108,auto,2026-07-13
p00061,biwenger,2577,auto,2026-07-13
p00061,sofascore,801837,auto,2026-07-17
p00061,transfermarkt,255501,auto,2026-07-13
p00062,biwenger,2595,auto,2026-07-13
p00062,sofascore,326471,auto,2026-07-17
p00062,transfermarkt,268670,auto,2026-07-13
p00063,biwenger,2597,auto,2026-07-13
p00063,sofascore,816763,auto,2026-07-17
p00063,transfermarkt,357885,auto,2026-07-13
p00064,biwenger,2600,auto,2026-07-13
p00064,sofascore,353138,auto,2026-07-17
p00064,transfermarkt,282411,auto,2026-07-13
p00065,biwenger,2602,auto,2026-07-13
p00065,sofascore,966862,auto,2026-07-17
p00065,transfermarkt,616369,auto,2026-07-13
p00066,biwenger,2603,auto,2026-07-13
p00066,sofascore,823622,auto,2026-07-17
p00066,transfermarkt,351478,auto,2026-07-13
p00067,biwenger,3159,auto,2026-07-13
p00067,sofascore,949962,auto,2026-07-17
p00067,transfermarkt,599231,auto,2026-07-13
p00068,biwenger,3259,auto,2026-07-13
p00068,sofascore,1398526,auto,2026-07-17
p00068,transfermarkt,892932,auto,2026-07-13
p00069,biwenger,3310,auto,2026-07-13
p00069,sofascore,1119693,auto,2026-07-17
p00069,transfermarkt,646734,auto,2026-07-13
p00070,biwenger,3446,auto,2026-07-13
p00070,sofascore,1069703,auto,2026-07-17
p00070,transfermarkt,636093,auto,2026-07-13
p00071,biwenger,4070,auto,2026-07-13
p00071,transfermarkt,251046,auto,2026-07-13
p00072,biwenger,4245,auto,2026-07-13
p00072,sofascore,927066,auto,2026-07-17
p00072,transfermarkt,568835,auto,2026-07-13
p00073,biwenger,4703,auto,2026-07-13
p00073,sofascore,794949,auto,2026-07-17
p00073,transfermarkt,283170,auto,2026-07-13
p00074,biwenger,4753,auto,2026-07-13
p00074,sofascore,922939,auto,2026-07-17
p00074,transfermarkt,531277,auto,2026-07-13
p00075,biwenger,5069,auto,2026-07-13
p00075,sofascore,899982,auto,2026-07-17
p00075,transfermarkt,362086,auto,2026-07-13
p00076,biwenger,5220,auto,2026-07-13
p00076,sofascore,851271,auto,2026-07-17
p00076,transfermarkt,341264,auto,2026-07-13
p00077,biwenger,5352,auto,2026-07-13
p00077,sofascore,900008,auto,2026-07-17
p00077,transfermarkt,517753,auto,2026-07-13
p00078,biwenger,5678,auto,2026-07-13
p00078,sofascore,350560,auto,2026-07-17
p00078,transfermarkt,249513,auto,2026-07-13
p00079,biwenger,5697,auto,2026-07-13
p00079,sofascore,175753,auto,2026-07-17
p00079,transfermarkt,225020,auto,2026-07-13
p00080,biwenger,5717,auto,2026-07-13
p00080,sofascore,359742,auto,2026-07-17
p00080,transfermarkt,300168,auto,2026-07-13
p00081,biwenger,5771,auto,2026-07-13
p00081,sofascore,807648,auto,2026-07-17
p00081,transfermarkt,255488,auto,2026-07-13
p00082,biwenger,5802,auto,2026-07-13
p00082,sofascore,94539,auto,2026-07-17
p00082,transfermarkt,95641,auto,2026-07-13
p00083,biwenger,5807,auto,2026-07-13
p00083,sofascore,847128,auto,2026-07-17
p00083,transfermarkt,336869,auto,2026-07-13
p00084,biwenger,6259,auto,2026-07-13
p00084,sofascore,909119,auto,2026-07-17
p00084,transfermarkt,573775,auto,2026-07-13
p00085,biwenger,6792,auto,2026-07-13
p00085,sofascore,355072,auto,2026-07-17
p00085,transfermarkt,251897,auto,2026-07-13
p00086,biwenger,6828,auto,2026-07-13
p00086,sofascore,580550,auto,2026-07-17
p00086,transfermarkt,182904,auto,2026-07-13
p00087,biwenger,6837,auto,2026-07-13
p00087,sofascore,832427,auto,2026-07-17
p00087,transfermarkt,372246,auto,2026-07-13
p00088,biwenger,6871,auto,2026-07-13
p00088,sofascore,353250,auto,2026-07-17
p00088,transfermarkt,280730,auto,2026-07-13
p00089,biwenger,7003,auto,2026-07-13
p00089,sofascore,791773,auto,2026-07-17
p00089,transfermarkt,212862,auto,2026-07-13
p00090,biwenger,8376,auto,2026-07-13
p00090,sofascore,838159,auto,2026-07-17
p00090,transfermarkt,355628,auto,2026-07-13
p00091,biwenger,8670,auto,2026-07-13
p00091,sofascore,989113,auto,2026-07-17
p00091,transfermarkt,461617,auto,2026-07-13
p00092,biwenger,8695,auto,2026-07-13
p00092,sofascore,910267,auto,2026-07-17
p00092,transfermarkt,488626,auto,2026-07-13
p00093,biwenger,8747,auto,2026-07-13
p00093,sofascore,976141,auto,2026-07-17
p00093,transfermarkt,552425,auto,2026-07-13
p00094,biwenger,9047,auto,2026-07-13
p00094,sofascore,175185,auto,2026-07-17
p00094,transfermarkt,225593,auto,2026-07-13
p00095,biwenger,9065,auto,2026-07-13
p00095,sofascore,150864,auto,2026-07-17
p00095,transfermarkt,184767,auto,2026-07-13
p00096,biwenger,9068,auto,2026-07-13
p00096,sofascore,31828,auto,2026-07-17
p00096,transfermarkt,54217,auto,2026-07-13
p00097,biwenger,9090,auto,2026-07-13
p00097,sofascore,94527,auto,2026-07-17
p00097,transfermarkt,94308,auto,2026-07-13
p00098,biwenger,9402,auto,2026-07-13
p00098,sofascore,831808,auto,2026-07-17
p00098,transfermarkt,369081,auto,2026-07-13
p00099,biwenger,9462,auto,2026-07-13
p00099,sofascore,21949,auto,2026-07-17
p00099,transfermarkt,30321,auto,2026-07-13
p00100,biwenger,9475,auto,2026-07-13
p00100,sofascore,138387,auto,2026-07-17
p00100,transfermarkt,162038,auto,2026-07-13
p00101,biwenger,9480,auto,2026-07-13
p00101,sofascore,843678,auto,2026-07-17
p00101,transfermarkt,380598,auto,2026-07-13
p00102,biwenger,9557,auto,2026-07-13
p00102,sofascore,945404,auto,2026-07-17
p00102,transfermarkt,568158,auto,2026-07-13
p00103,biwenger,9763,auto,2026-07-13
p00103,sofascore,328145,auto,2026-07-17
p00103,transfermarkt,177847,auto,2026-07-13
p00104,biwenger,9811,auto,2026-07-13
p00104,sofascore,789381,auto,2026-07-17
p00104,transfermarkt,167721,auto,2026-07-13
p00105,biwenger,9887,auto,2026-07-13
p00105,sofascore,369004,auto,2026-07-17
p00105,transfermarkt,298197,auto,2026-07-13
p00106,biwenger,9983,auto,2026-07-13
p00106,sofascore,307702,auto,2026-07-17
p00106,transfermarkt,221150,auto,2026-07-13
p00107,biwenger,10040,auto,2026-07-13
p00107,sofascore,997035,auto,2026-07-17
p00107,transfermarkt,636688,auto,2026-07-13
p00108,biwenger,10117,auto,2026-07-13
p00108,sofascore,848980,auto,2026-07-17
p00108,transfermarkt,297194,auto,2026-07-13
p00109,biwenger,10155,auto,2026-07-13
p00109,sofascore,892521,auto,2026-07-17
p00109,transfermarkt,338285,auto,2026-07-13
p00110,biwenger,10157,auto,2026-07-13
p00110,sofascore,794937,auto,2026-07-17
p00110,transfermarkt,284854,auto,2026-07-13
p00111,biwenger,10158,auto,2026-07-13
p00111,sofascore,788141,auto,2026-07-17
p00111,transfermarkt,289257,auto,2026-07-13
p00112,biwenger,10182,auto,2026-07-13
p00112,sofascore,1493226,auto,2026-07-17
p00112,transfermarkt,1055220,auto,2026-07-13
p00113,biwenger,10276,auto,2026-07-13
p00113,sofascore,887055,auto,2026-07-17
p00113,transfermarkt,459463,auto,2026-07-13
p00114,biwenger,10292,auto,2026-07-13
p00114,sofascore,1495856,auto,2026-07-17
p00114,transfermarkt,1065442,auto,2026-07-13
p00115,biwenger,10574,auto,2026-07-13
p00115,sofascore,1002764,auto,2026-07-17
p00115,transfermarkt,545647,auto,2026-07-13
p00116,biwenger,10650,auto,2026-07-13
p00116,sofascore,992331,auto,2026-07-17
p00116,transfermarkt,632741,auto,2026-07-13
p00117,biwenger,10658,auto,2026-07-13
p00117,sofascore,794950,auto,2026-07-17
p00117,transfermarkt,282810,auto,2026-07-13
p00118,biwenger,10716,auto,2026-07-13
p00118,sofascore,1110904,auto,2026-07-17
p00118,transfermarkt,904712,auto,2026-07-13
p00119,biwenger,10745,auto,2026-07-13
p00119,sofascore,280979,auto,2026-07-17
p00119,transfermarkt,225122,auto,2026-07-13
p00120,biwenger,10980,auto,2026-07-13
p00120,sofascore,351140,auto,2026-07-17
p00120,transfermarkt,227961,auto,2026-07-13
p00121,biwenger,10997,auto,2026-07-13
p00121,sofascore,1841365,auto,2026-07-17
p00121,transfermarkt,1178721,auto,2026-07-13
p00122,biwenger,11045,auto,2026-07-13
p00122,sofascore,857205,auto,2026-07-17
p00122,transfermarkt,357884,auto,2026-07-13
p00123,biwenger,11196,auto,2026-07-13
p00123,sofascore,191182,auto,2026-07-17
p00123,transfermarkt,205562,auto,2026-07-13
p00124,biwenger,11610,auto,2026-07-13
p00124,sofascore,845385,auto,2026-07-17
p00124,transfermarkt,309110,auto,2026-07-13
p00125,biwenger,11633,auto,2026-07-13
p00125,sofascore,873947,auto,2026-07-17
p00125,transfermarkt,413262,auto,2026-07-13
p00126,biwenger,11677,auto,2026-07-13
p00126,sofascore,97951,auto,2026-07-17
p00126,transfermarkt,165467,auto,2026-07-13
p00127,biwenger,11686,auto,2026-07-13
p00127,sofascore,798835,auto,2026-07-17
p00127,transfermarkt,348795,auto,2026-07-13
p00128,biwenger,11800,auto,2026-07-13
p00128,sofascore,81992,auto,2026-07-17
p00128,transfermarkt,102423,auto,2026-07-13
p00129,biwenger,12087,auto,2026-07-13
p00129,sofascore,951008,auto,2026-07-17
p00129,transfermarkt,341713,auto,2026-07-13
p00130,biwenger,12221,auto,2026-07-13
p00130,sofascore,826948,auto,2026-07-17
p00130,transfermarkt,328480,auto,2026-07-13
p00131,biwenger,12400,auto,2026-07-13
p00131,sofascore,910978,auto,2026-07-17
p00131,transfermarkt,524000,auto,2026-07-13
p00132,biwenger,12404,auto,2026-07-13
p00132,sofascore,851226,auto,2026-07-17
p00132,transfermarkt,461843,auto,2026-07-13
p00133,biwenger,12424,auto,2026-07-13
p00133,sofascore,934383,auto,2026-07-17
p00133,transfermarkt,580560,auto,2026-07-13
p00134,biwenger,12494,auto,2026-07-13
p00134,sofascore,814385,auto,2026-07-17
p00134,transfermarkt,334222,auto,2026-07-13
p00135,biwenger,12526,auto,2026-07-13
p00135,sofascore,855833,auto,2026-07-17
p00135,transfermarkt,398184,auto,2026-07-13
p00136,biwenger,12596,auto,2026-07-13
p00136,sofascore,914835,auto,2026-07-17
p00136,transfermarkt,374139,auto,2026-07-13
p00137,biwenger,13994,auto,2026-07-13
p00137,sofascore,851282,auto,2026-07-17
p00137,transfermarkt,367466,auto,2026-07-13
p00138,biwenger,14205,auto,2026-07-13
p00138,sofascore,966940,auto,2026-07-17
p00138,transfermarkt,557147,auto,2026-07-13
p00139,biwenger,14466,auto,2026-07-13
p00139,sofascore,2065347,auto,2026-07-17
p00139,transfermarkt,1204959,auto,2026-07-13
p00140,biwenger,14630,auto,2026-07-13
p00140,sofascore,1131909,auto,2026-07-17
p00140,transfermarkt,562742,auto,2026-07-13
p00141,biwenger,14707,auto,2026-07-13
p00141,sofascore,1216080,auto,2026-07-17
p00141,transfermarkt,715628,auto,2026-07-13
p00142,biwenger,14800,auto,2026-07-13
p00142,sofascore,1084381,manual,2026-07-17
p00142,transfermarkt,785353,auto,2026-07-13
p00143,biwenger,15289,auto,2026-07-13
p00143,sofascore,857574,auto,2026-07-17
p00143,transfermarkt,404839,auto,2026-07-13
p00144,biwenger,15396,auto,2026-07-13
p00144,sofascore,909554,auto,2026-07-17
p00144,transfermarkt,557057,auto,2026-07-13
p00145,biwenger,15410,auto,2026-07-13
p00145,sofascore,794939,auto,2026-07-17
p00145,transfermarkt,284857,auto,2026-07-13
p00146,biwenger,15430,auto,2026-07-13
p00146,sofascore,930267,auto,2026-07-17
p00146,transfermarkt,561613,auto,2026-07-13
p00147,biwenger,15455,auto,2026-07-13
p00147,sofascore,813574,auto,2026-07-17
p00147,transfermarkt,255495,auto,2026-07-13
p00148,biwenger,15462,auto,2026-07-13
p00148,sofascore,866810,auto,2026-07-17
p00148,transfermarkt,289255,auto,2026-07-13
p00149,biwenger,15464,auto,2026-07-13
p00149,sofascore,797306,auto,2026-07-17
p00149,transfermarkt,346289,auto,2026-07-13
p00150,biwenger,15568,auto,2026-07-13
p00150,sofascore,868812,auto,2026-07-17
p00150,transfermarkt,371998,auto,2026-07-13
p00151,biwenger,15642,auto,2026-07-13
p00151,sofascore,1006232,auto,2026-07-17
p00151,transfermarkt,625654,auto,2026-07-13
p00152,biwenger,15719,auto,2026-07-13
p00152,sofascore,787751,auto,2026-07-17
p00152,transfermarkt,351809,auto,2026-07-13
p00153,biwenger,15921,auto,2026-07-13
p00153,sofascore,557008,auto,2026-07-17
p00153,transfermarkt,341110,auto,2026-07-13
p00154,biwenger,16317,auto,2026-07-13
p00154,sofascore,891511,auto,2026-07-17
p00154,transfermarkt,408471,auto,2026-07-13
p00155,biwenger,16321,auto,2026-07-13
p00155,sofascore,353154,auto,2026-07-17
p00155,transfermarkt,282421,auto,2026-07-13
p00156,biwenger,16606,auto,2026-07-13
p00156,sofascore,99516,auto,2026-07-17
p00156,transfermarkt,118997,auto,2026-07-13
p00157,biwenger,16738,auto,2026-07-13
p00157,sofascore,70988,auto,2026-07-17
p00157,transfermarkt,108390,auto,2026-07-13
p00158,biwenger,16821,auto,2026-07-13
p00158,sofascore,190159,auto,2026-07-17
p00158,transfermarkt,198008,auto,2026-07-13
p00159,biwenger,16889,auto,2026-07-13
p00159,sofascore,928672,auto,2026-07-17
p00159,transfermarkt,501418,auto,2026-07-13
p00160,biwenger,16992,auto,2026-07-13
p00160,sofascore,128637,auto,2026-07-17
p00160,transfermarkt,111508,auto,2026-07-13
p00161,biwenger,17021,auto,2026-07-13
p00161,sofascore,797291,auto,2026-07-17
p00161,transfermarkt,262396,auto,2026-07-13
p00162,biwenger,17056,auto,2026-07-13
p00162,sofascore,605672,auto,2026-07-17
p00162,transfermarkt,340205,auto,2026-07-13
p00163,biwenger,17057,auto,2026-07-13
p00163,sofascore,966801,auto,2026-07-17
p00163,transfermarkt,571020,auto,2026-07-13
p00164,biwenger,17121,auto,2026-07-13
p00164,sofascore,952222,manual,2026-07-17
p00164,transfermarkt,590690,auto,2026-07-13
p00165,biwenger,17148,auto,2026-07-13
p00165,sofascore,826010,auto,2026-07-17
p00165,transfermarkt,412045,auto,2026-07-13
p00166,biwenger,17200,auto,2026-07-13
p00166,sofascore,966441,auto,2026-07-17
p00166,transfermarkt,517842,auto,2026-07-13
p00167,biwenger,17344,auto,2026-07-13
p00167,sofascore,839585,auto,2026-07-17
p00167,transfermarkt,378293,auto,2026-07-13
p00168,biwenger,17369,auto,2026-07-13
p00168,sofascore,891931,auto,2026-07-17
p00168,transfermarkt,465967,auto,2026-07-13
p00169,biwenger,17442,auto,2026-07-13
p00169,sofascore,900433,auto,2026-07-17
p00169,transfermarkt,278837,auto,2026-07-13
p00170,biwenger,17482,auto,2026-07-13
p00170,sofascore,556884,auto,2026-07-17
p00170,transfermarkt,144128,auto,2026-07-13
p00171,biwenger,17645,auto,2026-07-13
p00171,sofascore,825133,auto,2026-07-17
p00171,transfermarkt,448628,auto,2026-07-13
p00172,biwenger,17731,auto,2026-07-13
p00172,sofascore,900792,auto,2026-07-17
p00172,transfermarkt,449796,auto,2026-07-13
p00173,biwenger,17756,auto,2026-07-13
p00173,sofascore,910024,auto,2026-07-17
p00173,transfermarkt,505674,auto,2026-07-13
p00174,biwenger,17937,auto,2026-07-13
p00174,sofascore,1014042,auto,2026-07-17
p00174,transfermarkt,628886,auto,2026-07-13
p00175,biwenger,18128,auto,2026-07-13
p00175,sofascore,1119586,manual,2026-07-17
p00175,transfermarkt,710677,auto,2026-07-13
p00176,biwenger,18173,auto,2026-07-13
p00176,sofascore,822519,auto,2026-07-17
p00176,transfermarkt,401530,auto,2026-07-13
